Subfamily,Wheat,Barley,Rice
AP2,71,13,16
ARF,65,16,27
ARR-B,48,10,9
B3,309,52,54
BBR-BPC,6,2,4
BES1,18,2,6
bHLH,503,115,156
bZIP,264,68,96
C2H2,378,91,106
C3H,127,33,49
CAMTA,17,2,6
CO-like,40,6,15
CPP,35,5,11
DBB,26,9,10
Dof,92,22,30
E2F/DP,26,4,8
EIL,21,5,9
ERF,435,73,138
FAR1,295,47,119
G2-like,157,42,47
GATA,81,16,26
GeBP,29,10,13
GRAS,175,38,60
GRF,31,4,12
HB-other,67,10,13
HB-PHD,5,1,1
HD-ZIP,117,28,42
HRT-like,3,1,1
HSF,81,18,25
LBD,88,16,36
LFY,3,1,2
LSD,14,8,6
MIKC,118,17,37
M-type,98,10,33
MYB,395,75,122
MYB_related,223,63,69
NAC,453,77,141
NF-X1,8,3,2
NF-YA,21,6,11
NF-YB,55,12,13
NF-YC,41,7,16
Nin-like,34,9,13
RAV,27,5,4
S1Fa-like,3,1,2
SBP,50,13,19
SRS,15,5,5
STAT,1,1,1
TALE,61,11,26
TCP,62,17,21
Trihelix,79,21,31
VOZ,6,2,2
Whirly,5,2,2
WOX,45,9,14
WRKY,297,71,102
YABBY,19,6,8
ZF-HD,33,6,15
