Genotype,block,subblock,Plant,Heading.date,Flag.leaf.senescence.date,Peduncle.senescence.date
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-1,02/03/2018,21/04/2018,03/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-3,04/03/2018,20/04/2018,11/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-4,06/03/2018,23/04/2018,08/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-5,05/03/2018,19/04/2018,08/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-6,03/03/2018,15/04/2018,30/04/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-7,04/03/2018,21/04/2018,11/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-8,05/03/2018,23/04/2018,14/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-9,05/03/2018,28/04/2018,17/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-10,01/03/2018,18/04/2018,02/05/2018
hom hom,NAM2 block 4,NAM2 block 4_1,437_5-3-11,09/03/2018,13/04/2018,11/05/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-1,07/03/2018,12/04/2018,30/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-2,09/03/2018,06/04/2018,07/05/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-3,03/03/2018,08/04/2018,27/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-4,06/03/2018,13/04/2018,30/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-7,04/03/2018,14/04/2018,03/05/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-8,08/03/2018,11/04/2018,30/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-9,09/03/2018,06/04/2018,30/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-10,08/03/2018,06/04/2018,27/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-11,05/03/2018,17/04/2018,30/04/2018
hom WT,NAM2 block 4,NAM2 block 4_1,437_3-17-12,06/03/2018,18/04/2018,06/05/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-1,07/03/2018,05/04/2018,25/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-2,10/03/2018,09/04/2018,30/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-3,04/03/2018,07/04/2018,28/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-4,05/03/2018,18/04/2018,08/05/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-5,05/03/2018,03/04/2018,27/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-6,05/03/2018,05/04/2018,28/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-7,05/03/2018,09/04/2018,02/05/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-8,07/03/2018,09/04/2018,30/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-9,06/03/2018,01/04/2018,23/04/2018
WT hom,NAM2 block 4,NAM2 block 4_1,437_4-11-10,05/03/2018,05/04/2018,27/04/2018
WT WT,NAM2 block 4,NAM2 block 4_1,437_3-29-2,07/03/2018,09/04/2018,30/04/2018
WT WT,NAM2 block 4,NAM2 block 4_1,437_3-29-3,05/03/2018,09/04/2018,29/04/2018
WT WT,NAM2 block 4,NAM2 block 4_1,437_3-29-4,04/03/2018,28/03/2018,23/04/2018
